《水浒传》梁山好汉出场次数统计
==================================================

出场次数最多的前十位水浒英雄:
----------------------------------------
第1名: 宋江 - 2728次
第2名: 李逵 - 1247次
第3名: 武松 - 1166次
第4名: 林冲 - 728次
第5名: 鲁智深 - 688次
第6名: 吴用 - 642次
第7名: 卢俊义 - 625次
第8名: 柴进 - 369次
第9名: 戴宗 - 356次
第10名: 公孙胜 - 272次

所有108将出场次数统计:
------------------------------

第一梯队 (500次以上):
  宋江: 2728次
  李逵: 1247次
  武松: 1166次
  林冲: 728次
  鲁智深: 688次
  吴用: 642次
  卢俊义: 625次

第二梯队 (200-499次):
  柴进: 369次
  戴宗: 356次
  公孙胜: 272次
  朱仝: 257次
  花荣: 255次
  燕青: 254次
  秦明: 247次
  李俊: 231次
  史进: 226次
  杨志: 220次

第三梯队 (100-199次):
  石秀: 195次
  张清: 189次
  关胜: 181次
  张顺: 177次
  杨雄: 173次
  时迁: 170次
  刘唐: 164次
  解宝: 148次
  徐宁: 145次
  解珍: 140次
  黄信: 139次
  施恩: 136次
  董平: 130次
  孙立: 123次
  雷横: 116次
  阮小七: 115次
  索超: 107次
  燕顺: 105次
  顾大嫂: 105次
  朱贵: 102次
  李应: 102次

第四梯队 (100次以下):
  项充: 95次
  李衮: 94次
  杨林: 93次
  朱武: 91次
  阮小二: 88次
  吕方: 80次
  石勇: 80次
  汤隆: 80次
  张横: 79次
  穆弘: 78次
  张青: 77次
  欧鹏: 74次
  安道全: 74次
  萧让: 73次
  阮小五: 72次
  郝思文: 71次
  郭盛: 69次
  魏定国: 69次
  孙新: 68次
  韩滔: 68次
  孔亮: 64次
  陈达: 63次
  杜迁: 63次
  白胜: 62次
  马麟: 62次
  樊瑞: 62次
  鲍旭: 62次
  李忠: 61次
  孙二娘: 61次
  宋清: 61次
  宣赞: 61次
  王英: 59次
  邓飞: 59次
  周通: 57次
  童威: 57次
  杨春: 55次
  李云: 54次
  宋万: 52次
  扈三娘: 52次
  童猛: 50次
  杜兴: 49次
  邹渊: 49次
  孔明: 46次
  李立: 46次
  薛永: 45次
  郑天寿: 43次
  金大坚: 43次
  凌振: 43次
  朱富: 42次
  郁保四: 42次
  曹正: 41次
  段景住: 41次
  蔡福: 41次
  裴宣: 37次
  丁得孙: 36次
  穆春: 35次
  龚旺: 35次
  孟康: 26次
  蔡庆: 26次
  侯健: 25次
  皇甫端: 23次
  蒋敬: 22次
  焦挺: 22次
  邹润: 21次
  陶宗旺: 19次

统计信息:
总统计人物数: 103位
总出场次数: 17121次
平均出场次数: 166.2次
最高出场次数: 2728次 (宋江)
最低出场次数: 19次
